"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","配当利回り(%)","ROE(自己資本利益率)(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高変化率(%)","経常利益変化率(%)","時価総額(百万円)","平均売買代金(千円)"
"1925","大和ハウス工業","東P","5473.0","+48.0(+0.88%)","10.65","1.30","2.74","12.90","37.08","89.21","4.46","20.68","3,610,189","9,571,002"
"1928","積水ハウス","東P","3719.0","+27.0(+0.73%)","11.07","1.23","3.63","11.70","40.80","94.13","30.62","12.44","2,466,151","14,799,339"
"2001","ニップン","東P","2807","-2.0(-0.07%)","8.85","0.90","2.35","10.60","60.65","23.54","2.59","4.78","237,829","822,361"
"2121","ＭＩＸＩ","東P","2627","+13.0(+0.50%)","10.28","0.99","4.57","10.00","79.35","6.92","5.43","69.19","187,386","783,899"
"2432","ディー・エヌ・エー","東P","2696.0","+44.5(+1.68%)","12.41","1.24","2.41","10.70","61.32","14.95","19.94","213.11","329,304","5,453,366"
"3443","川田テクノロジーズ","東P","5260","-20.0(-0.38%)","8.18","1.00","2.76","12.80","55.02","25.62","2.93","19.72","91,914","555,988"
"4043","トクヤマ","東P","4185.0","+21.0(+0.50%)","12.87","1.15","2.39","9.20","54.93","39.81","0.32","12.54","301,690","3,384,340"
"4088","エア・ウォーター","東P","2105.5","+25.5(+1.23%)","9.81","0.93","3.56","9.80","41.37","80.87","5.02","10.89","483,749","2,152,043"
"4521","科研製薬","東P","4210","-20.0(-0.47%)","11.52","1.06","4.51","9.40","80.16","2.52","30.52","113.84","185,828","588,507"
"4540","ツムラ","東P","4006.0","-40.0(-0.99%)","9.38","1.01","3.39","11.40","64.72","23.40","20.05","80.68","307,494","1,419,317"
"4633","サカタインクス","東P","2600","+27.0(+1.05%)","11.05","1.07","3.65","10.00","52.76","25.09","4.93","19.17","140,848","523,971"
"5233","太平洋セメント","東P","4707.0","-28.0(-0.59%)","9.37","0.82","1.70","9.50","45.07","65.15","1.13","26.74","556,328","2,575,109"
"5602","栗本鐵工所","東P","1700","+1.0(+0.06%)","14.93","1.18","3.35","8.20","57.87","22.02","0.59","8.46","108,787","826,399"
"6448","ブラザー工業","東P","3140.0","+14.0(+0.45%)","14.65","1.16","3.18","8.10","74.13","0.09","6.52","42.21","809,354","2,494,011"
"6674","ジーエスユアサコーポレーション","東P","4445.0","+5.0(+0.11%)","14.66","1.28","1.69","9.00","50.03","30.44","3.10","5.38","446,484","3,597,465"
"6770","アルプスアルパイン","東P","2188.5","-6.0(-0.27%)","11.89","1.09","2.74","9.40","55.89","24.34","2.73","23.02","455,435","3,145,295"
"6902","デンソー","東P","2255.0","+41.5(+1.87%)","15.55","1.28","2.84","8.00","61.27","14.05","0.24","32.50","6,564,260","16,062,574"
"7751","キヤノン","東P","4786.0","-14.0(-0.29%)","13.02","1.20","3.34","9.70","56.92","23.37","2.55","60.07","6,383,390","18,056,300"
"7864","フジシールインターナショナル","東P","2825","-95.0(-3.25%)","12.56","1.04","2.41","8.80","69.23","6.56","8.00","24.38","169,958","604,274"
"8242","エイチ・ツー・オー　リテイリン","東P","2424.0","+25.5(+1.06%)","8.20","0.99","1.73","12.30","40.97","51.41","3.71","28.82","303,488","864,161"
"9008","京王電鉄","東P","4120.0","-1.0(-0.02%)","11.65","1.18","2.43","10.60","36.94","107.79","10.82","22.46","493,171","1,733,419"
"9009","京成電鉄","東P","1306.5","+21.0(+1.63%)","9.11","1.24","1.61","14.60","46.52","66.13","7.69","19.70","675,766","2,626,240"
"9247","TRE ＨＬＤＧ","東P","1744","+9.0(+0.52%)","7.21","1.16","2.58","17.50","45.15","83.00","27.80","188.78","91,753","532,939"
"9842","アークランズ","東P","2008","-5.0(-0.25%)","12.35","1.04","1.99","8.50","36.12","80.19","1.86","15.52","129,985","574,159"
