"コード","銘柄名","市場","現在値","配当利回り(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","自己資本比率(%)","有利子負債自己資本比率(%)","売上高変化率(%)","経常利益変化率(%)","時価総額(百万円)","平均売買代金(千円)","決算期"
"3205","ダイドー","東S","1301","7.69","-","-","-","-","-","-","-","-","0","26/03"
"7148","ＦＰＧ","東P","2087","6.01","-","-","-","-","-","-","-","-","0","26/09"
"9782","ＤＭＳ","東S","3940","5.79","-","-","-","-","-","-","-","-","0","26/03"
"4481","ベース","東P","3225","5.77","-","-","-","-","-","-","-","-","0","26/12"
"3245","ディアライフ","東P","1111","5.76","-","-","-","-","-","-","-","-","0","26/09"
"9219","ギックス","東G","944","5.67","-","-","-","-","-","-","-","-","0","26/06"
"287A","黒田グループ","東S","1078","5.66","-","-","-","-","-","-","-","-","0","26/03"
"3284","フージャース","東P","1318","5.61","-","-","-","-","-","-","-","-","0","26/03"
"4331","Ｔ＆Ｇニーズ","東P","717","5.58","-","-","-","-","-","-","-","-","0","26/12"
"2148","ＩＴメディア","東P","1809","5.53","-","-","-","-","-","-","-","-","0","26/03"
"4644","イマジニア","東S","1093","5.49","-","-","-","-","-","-","-","-","0","26/03"
"8595","ジャフコＧ","東P","2427","5.48","-","-","-","-","-","-","-","-","0","26/03"
"415A","ＧＭＯテック","東G","5060","5.46","-","-","-","-","-","-","-","-","0","26/12"
"4595","ミズホメディ","東S","1846","5.42","-","-","-","-","-","-","-","-","0","26/12"
"2146","ＵＴ","東P","201","5.40","-","-","-","-","-","-","-","-","0","26/03"
"9733","ナガセ","東S","2781","5.39","-","-","-","-","-","-","-","-","0","26/03"
"9827","リリカラ","東S","668","5.39","-","-","-","-","-","-","-","-","0","26/12"
"367A","プリモＧＨＤ","東S","2230","5.38","-","-","-","-","-","-","-","-","0","26/08"
"9744","メイテックＧ","東P","3373","5.37","-","-","-","-","-","-","-","-","0","26/03"
"6927","ヘリオスＴＨ","東S","1347","5.35","-","-","-","-","-","-","-","-","0","26/03"
"9376","ユーラシア","東S","935","5.35","-","-","-","-","-","-","-","-","0","26/09"
"3299","ムゲンＥ","東S","2441","5.33","-","-","-","-","-","-","-","-","0","26/12"
"7172","ＪＩＡ","東P","2026","5.33","-","-","-","-","-","-","-","-","0","26/12"
"197A","タウンズ","東S","529","5.29","-","-","-","-","-","-","-","-","0","26/06"
"2986","ＬＡホールデ","東G","9870","5.27","-","-","-","-","-","-","-","-","0","26/12"
"4725","ＣＡＣ","東P","1898","5.27","-","-","-","-","-","-","-","-","0","26/12"
"6539","ＭＳジャパン","東P","1065","5.26","-","-","-","-","-","-","-","-","0","26/03"
"8705","日産証券Ｇ","東S","285","5.26","-","-","-","-","-","-","-","-","0","26/03"
"6535","アイモバイル","東P","514","5.25","-","-","-","-","-","-","-","-","0","26/07"
"7305","新家工","東S","5710","5.25","-","-","-","-","-","-","-","-","0","26/03"
